0;8;3;60;30.0;0.0;[0, 6, 5, 2, 6, 2, 4];
1;8;3;61;24.0;0.0;[0, 6, 5, 2, 6, 2, 4];
2;6;5;61;35.0;1.0;[5, 2, 2, 0, 1, 3, 5];
3;6;6;61;31.0;1.0;[5, 2, 2, 0, 1, 3, 5];
4;5;7;61;42.0;2.0;[5, 2, 2, 0, 1, 3, 5];
5;5;9;59;33.0;2.0;[5, 2, 2, 0, 1, 3, 5];
6;5;11;57;32.0;2.0;[5, 2, 2, 0, 1, 3, 5];
7;5;12;55;35.0;2.0;[5, 2, 2, 0, 1, 3, 5];
8;5;14;53;34.0;2.0;[5, 2, 2, 0, 1, 3, 5];
9;5;14;54;33.0;2.0;[5, 2, 2, 0, 1, 3, 5];
10;4;15;54;50.0;4.0;[5, 2, 2, 0, 1, 3, 5];
11;4;15;54;59.0;4.0;[5, 2, 2, 0, 1, 3, 5];
12;3;16;54;72.0;5.0;[5, 2, 2, 0, 1, 3, 5];
13;3;15;54;91.0;5.0;[5, 2, 2, 0, 1, 3, 5];
14;3;16;53;83.0;5.0;[5, 2, 2, 0, 1, 3, 5];
15;3;17;52;89.0;5.0;[5, 2, 2, 0, 1, 3, 5];
16;3;17;52;101.0;5.0;[5, 2, 2, 0, 1, 3, 5];
17;3;18;51;107.0;5.0;[5, 2, 2, 0, 1, 3, 5];
18;3;20;49;106.0;5.0;[5, 2, 2, 0, 1, 3, 5];
18;3;20;49;106.0;5.0;[5, 2, 2, 0, 1, 3, 5];
